episode,reward,steps,unique_locations,success
1,55.317326067392976,77,19,Success
2,135.28998427252634,91,20,Success
3,-9.427143020694814,46,6,Success
4,-83.40539886940024,85,15,Collision
5,-103.73241599248274,15,3,Collision
6,-97.34861630351834,12,3,Collision
7,-68.70616936474723,87,9,Success
8,-106.36736751606378,19,2,Collision
9,91.09048814092203,36,9,Success
10,-103.00901182886152,11,2,Collision
11,-106.03450542617958,9,2,Collision
12,-125.66392934196644,26,4,Collision
13,80.92298894368926,42,8,Success
14,-91.46300246424104,9,4,Collision
15,131.4061622183896,100,23,Success
16,78.01993509036238,58,17,Success
17,61.51095547268899,71,18,Success
18,59.53171291429984,73,18,Success
19,-108.04494297238914,12,2,Collision
20,96.99123068290314,27,8,Success
21,-103.12078439004802,10,2,Collision
22,-929.2943775951992,103,5,Collision
23,-225.99169770381008,57,3,Collision
24,94.51887184289548,27,6,Success
25,94.311358312863,31,8,Success
26,-36.41897405989228,72,9,Success
27,-113.70593769172362,19,2,Collision
28,-108.64592084578177,11,2,Collision
29,92.53946513982908,21,4,Success
30,-101.73010323496537,10,3,Collision
31,-113.72119903783337,173,24,Success
32,-234.52578688491573,52,2,Collision
33,-104.56718630534624,22,5,Collision
34,-157.99366393960378,36,3,Collision
35,-114.27585150939777,36,6,Collision
36,-112.84336776692948,16,2,Collision
37,-45.7070616224829,63,17,Collision
38,87.6591763905485,37,8,Success
39,94.94029445229113,26,7,Success
40,93.554858232669,19,3,Success
41,37.97232781786481,81,18,Success
42,141.80174069232788,96,25,Success
43,119.75045680966186,116,26,Success
44,-110.98998098577293,22,4,Collision
45,5.10026444403438,153,16,Success
46,121.44957250188357,102,23,Success
47,-177.19096670076578,113,18,Collision
48,-113.81714151932803,18,2,Collision
49,92.4074927361602,21,4,Success
50,-105.92841407555217,13,2,Collision
51,91.41535651582609,37,11,Success
52,-221.5756540672259,27,2,Collision
53,-223.51203931924454,53,5,Collision
54,-116.19608756150862,36,8,Collision
55,-115.50783892219755,23,3,Collision
56,73.13327168506734,55,13,Success
57,62.71791126179444,71,19,Success
58,-96.90290937275184,8,4,Collision
59,98.64735377415613,24,8,Success
60,85.19676723601738,44,11,Success
61,140.623080881747,93,22,Success
62,92.44446003680504,22,3,Success
63,-106.33393277380748,15,3,Collision
64,-34.2605185812705,38,9,Collision
65,-52.9486691439334,53,10,Collision
66,88.27602429726525,32,7,Success
67,72.44392163020504,65,18,Success
68,-109.96944313134063,15,2,Collision
69,70.22206136482758,66,18,Success
70,92.3728116816751,138,15,Success
71,90.99351601762518,33,9,Success
72,-106.98636924240911,21,6,Collision
73,-125.39715914343047,53,11,Collision
74,-106.81972004162407,14,3,Collision
75,-101.56627119308689,8,2,Collision
76,129.00161824636822,102,23,Success
77,-101.51457251374522,12,4,Collision
78,140.27208315153084,82,17,Success
79,-109.66149870345386,18,3,Collision
80,-65.60759230934045,82,12,Success
81,90.68165124901405,34,8,Success
82,-112.15644496925049,15,2,Collision
