episode,reward,steps,unique_locations,success
1,-130.1772197538603,35,5,Collision
2,-116.79072450701673,30,3,Collision
3,86.49836059372313,30,5,Success
4,-218.73092079739735,35,2,Collision
5,78.85659458074352,42,8,Success
6,-231.2544236934398,54,4,Collision
7,-113.47426086320628,26,2,Collision
8,-114.3164776516848,22,2,Collision
9,-104.16940735949811,11,2,Collision
10,-104.69061894166465,16,2,Collision
11,-111.64025913025175,20,3,Collision
12,-142.26482506748425,58,10,Collision
13,-250.9036965183022,80,4,Collision
14,-119.4800924827104,29,3,Collision
15,-102.0113353248891,16,3,Collision
16,87.60288285257954,27,5,Success
17,-135.37780049775859,50,8,Collision
18,-158.32740279397768,67,9,Collision
19,-146.91991361026874,61,9,Collision
20,-110.18521204841905,19,2,Collision
21,-114.7686408074996,28,4,Collision
22,-102.79068355777189,11,2,Collision
23,-111.12421491150056,17,2,Collision
24,-324.1821068896047,53,6,Collision
25,-107.04835700869916,18,3,Collision
26,-117.83258397119178,32,3,Collision
27,-231.26013565954085,54,3,Collision
28,-223.3228042522279,40,3,Collision
29,-229.72836642396004,51,5,Collision
30,-113.8612544181222,20,5,Collision
31,-108.65054759752304,16,2,Collision
32,-126.45454035366876,37,7,Collision
33,-212.0653991387034,30,3,Collision
34,-144.07942468352516,58,10,Collision
35,83.37270839999827,38,6,Success
36,-10.649161522227132,37,5,Success
37,74.47821353299533,52,9,Success
38,-106.62042464088024,19,3,Collision
39,-235.85928590817926,60,2,Collision
40,-108.9784672575351,17,3,Collision
41,-120.63151426059474,29,3,Collision
42,-123.55392206118945,31,4,Collision
43,-162.40270483049918,73,11,Collision
44,66.18260026822317,68,12,Success
45,-118.67307880461034,34,4,Collision
46,-151.46653075587557,66,10,Collision
47,-102.21616018586697,13,3,Collision
48,-110.19462117293702,26,4,Collision
49,-106.21710080808099,14,2,Collision
50,-98.63154840713777,16,5,Collision
51,-113.73064107751446,27,3,Collision
52,-109.06023506541175,17,2,Collision
53,-111.08776302280019,20,2,Collision
54,-107.19457496462746,13,2,Collision
55,-132.92885108851846,51,11,Collision
56,-120.55145112885083,27,3,Collision
57,-135.65222256596604,48,9,Collision
58,-112.89199340263605,21,5,Collision
59,-213.2548006956372,32,2,Collision
60,-217.61190307219385,41,3,Collision
61,83.78254420886525,36,5,Success
62,45.18636580223837,91,16,Success
63,65.94515942618958,63,9,Success
64,-118.1788203964609,28,3,Collision
65,91.02713199772579,24,3,Success
66,-36.170986865426485,74,8,Success
67,-139.60077336375258,54,9,Collision
68,-221.6883188763365,50,4,Collision
69,90.58536490948477,27,4,Success
70,-107.51633183442887,16,2,Collision
71,-115.62641071975031,27,3,Collision
72,73.31725923958595,52,8,Success
73,-233.8974350951196,80,11,Collision
74,22.997381553471158,103,17,Success
