episode,reward,steps,unique_locations,success
1,-216.42233119772635,125,14,Collision
2,-25.48749919939786,39,12,Collision
3,82.74515031857379,57,20,Success
4,-613.6859766935224,76,2,Collision
5,-99.38894701261317,23,9,Collision
6,-310.2135165480934,45,2,Collision
7,149.6840225088431,86,24,Success
8,-30.30865727457507,32,8,Collision
9,-97.86560178325979,7,3,Collision
10,-102.43184047993311,8,2,Collision
11,48.420235692903965,98,23,Success
12,-164.65000955099873,33,3,Collision
13,-226.1561778046377,82,11,Collision
14,85.89370864586013,53,19,Success
15,154.6580810701755,77,19,Success
16,-674.2751736827272,91,3,Collision
17,-111.98335628151837,14,2,Collision
18,-203.44343832324137,52,6,Collision
19,-147.84597042321053,66,13,Collision
20,-118.44138410700053,52,18,Collision
21,-60.568062277365904,106,31,Collision
22,-113.63173656514414,19,3,Collision
23,-334.03510216955294,54,2,Collision
24,-92.07450285719167,8,4,Collision
25,-525.3414888432151,75,4,Collision
26,-109.87571511904929,19,2,Collision
27,-23.064530079208012,29,9,Collision
28,-91.25602609947654,8,4,Collision
29,-198.49623688264063,45,3,Collision
30,-100.02639830379124,37,14,Collision
31,-146.78648268814848,70,15,Collision
32,-98.74747655911243,10,3,Collision
33,-156.47258588362473,42,3,Collision
34,-29.75000479540371,37,9,Collision
35,-181.3183238246271,30,2,Collision
36,-104.69077657635998,12,3,Collision
37,-18.54293772114508,34,13,Collision
38,-301.4972216075154,45,2,Collision
39,151.09889109089792,79,21,Success
40,-230.20401177889454,46,5,Collision
41,-168.62279171535107,72,15,Collision
42,-115.68544598705566,20,2,Collision
43,-30.813452988846237,36,9,Collision
44,-112.45547843530713,16,2,Collision
45,-35.3946408278013,68,23,Collision
46,-94.33571931182098,11,4,Collision
47,-106.52540650922019,11,2,Collision
48,-103.73193808537779,18,7,Collision
49,-98.99188758608638,13,3,Collision
50,-100.75306798621497,7,2,Collision
51,-117.61670670358242,25,4,Collision
52,-25.952864450105437,32,9,Collision
53,94.07129084759347,40,13,Success
54,-99.96475175019779,12,3,Collision
55,-215.89175237064543,59,3,Collision
56,40.081906584198734,102,23,Success
57,-103.94529234219948,16,4,Collision
58,-104.91241886167828,16,3,Collision
59,153.31960341588172,75,18,Success
60,-48.57388824952616,59,14,Collision
61,147.13470740043044,70,15,Success
62,-42.79073879599961,57,15,Collision
63,-44.66664884550741,49,11,Collision
64,-101.67624511945883,30,10,Collision
65,-33.09415495808916,41,11,Collision
66,-114.198255886799,18,2,Collision
67,-95.8580835352551,8,3,Collision
68,-110.0209932028236,14,2,Collision
