episode,reward,steps,unique_locations,success
1,-130.44775458024498,50,8,Collision
2,89.45199630392136,32,8,Success
3,-109.92223354470582,36,7,Collision
4,65.71020006521084,72,13,Success
5,82.37402973105532,39,8,Success
6,73.68998695605411,58,11,Success
7,43.09884016574513,90,18,Success
8,80.36740268610372,59,15,Success
9,-212.8746784657722,27,1,Collision
10,69.27556024706514,67,14,Success
11,91.91301934625159,28,5,Success
12,-141.03111378097879,65,13,Collision
13,-30.56382613896828,65,10,Success
14,76.80147879936344,53,11,Success
15,-96.6581444442454,4,2,Collision
16,-105.81726733682036,17,4,Collision
17,62.48114523220925,63,10,Success
18,87.8599293827166,41,9,Success
19,88.21872261053501,22,3,Success
20,85.29158406470864,33,6,Success
21,-118.39815193673564,30,4,Collision
22,86.93383144202463,48,13,Success
23,85.48757500249982,32,6,Success
24,62.626572771211585,65,10,Success
25,-122.40051327123302,38,10,Collision
26,74.42648695770168,47,7,Success
27,-112.37949760135159,26,6,Collision
28,96.36354511412193,23,5,Success
29,95.55138192516712,19,5,Success
30,-107.40754035444576,22,5,Collision
31,30.146918236932947,98,15,Success
32,58.7347661394036,67,10,Success
33,82.39999601879248,43,9,Success
34,79.61301707812991,47,9,Success
35,-141.2322084263442,61,11,Collision
36,85.91475523229855,45,10,Success
37,56.20954745987845,63,11,Success
38,91.83552169894112,26,4,Success
39,89.45062153072804,32,6,Success
40,97.11923437629584,20,4,Success
41,92.04101907784438,23,5,Success
42,91.27980388029681,21,4,Success
43,-149.6675906291349,77,17,Collision
44,-115.5788820992814,25,4,Collision
45,-102.20902838752937,12,3,Collision
46,43.53939267712791,89,16,Success
47,83.94932374908315,42,9,Success
48,83.23168220331081,34,6,Success
49,-153.59397202373071,72,14,Collision
50,93.04290121483012,29,6,Success
51,70.95525095482726,60,11,Success
52,-113.15641390534448,34,8,Collision
53,75.79224473667888,50,10,Success
54,74.63876518964557,49,9,Success
55,-105.4092085086163,13,2,Collision
56,-120.39018796184061,30,4,Collision
57,76.72773066875581,49,9,Success
58,64.96991748285754,65,12,Success
59,77.31188480463445,49,9,Success
60,80.05119085050798,46,10,Success
61,74.70443624753389,52,10,Success
62,82.79654029543701,43,10,Success
63,75.98110300782234,51,9,Success
64,81.92684673246902,34,5,Success
65,70.48300762649112,44,8,Success
66,75.60969542779264,55,12,Success
67,84.34742956314405,50,13,Success
68,-95.39064874792062,3,2,Collision
69,54.719091034092344,78,17,Success
70,59.902918319719184,69,14,Success
71,-108.1754261227278,18,4,Collision
72,93.520565715803,26,5,Success
73,-18.892283133218285,59,9,Success
74,-121.57891302811323,32,4,Collision
75,58.92106547637307,51,11,Success
76,-206.86952852296275,161,18,Success
77,84.5637651482681,40,8,Success
78,47.98744482106656,89,19,Success
79,86.2003461053501,40,8,Success
80,86.21185143469776,31,6,Success
81,-100.45324479253222,14,4,Collision
82,50.416728813195114,85,18,Success
83,87.38638332642124,39,8,Success
84,81.54656877835004,36,6,Success
85,80.27706979232732,48,11,Success
86,53.232917323627426,83,19,Success
87,83.10625159965838,48,11,Success
88,73.49853965001236,47,6,Success
89,-108.56449211645564,19,3,Collision
90,76.10774586201997,42,6,Success
91,47.02911363026576,84,16,Success
92,91.63717870573367,30,6,Success
93,76.3835190178891,56,12,Success
94,95.50665882335109,31,8,Success
95,88.4008043729427,33,7,Success
96,-145.13687837916177,59,11,Collision
97,88.72185128442436,39,9,Success
98,79.36375988664288,43,8,Success
99,87.48931128876134,27,5,Success
100,-110.76975880081653,19,2,Collision
101,89.49996948077117,29,7,Success
102,94.06513748915124,23,5,Success
103,77.34540055475793,54,11,Success
104,89.35675994346143,31,5,Success
105,76.027976735437,50,10,Success
106,-102.63064618642149,13,3,Collision
107,87.07873093763754,33,6,Success
108,87.61548943821602,36,9,Success
109,-108.97029813602671,19,3,Collision
110,87.77604018613428,40,10,Success
111,73.06200024558355,52,8,Success
112,87.9283087150984,27,5,Success
113,-116.1299565311117,26,3,Collision
114,84.93071444915712,32,6,Success
115,90.50952141159217,27,5,Success
116,63.18519579187059,81,20,Success
