episode,reward,steps,unique_locations,success
1,-154.55322689584017,309,64,Success
2,-234.532631877455,176,33,Collision
3,-119.34547592117669,35,9,Collision
4,-115.73581961514303,19,3,Collision
5,-143.38024206711364,84,20,Collision
6,1.1082628629614675,139,33,Success
7,-63.891593262136,64,11,Collision
8,23.2254827745263,297,69,Success
9,-122.39949578356325,95,19,Collision
10,-397.82546759884315,350,61,Collision
11,-98.8089228359886,6,3,Collision
12,-237.64589480824097,117,18,Collision
13,-152.17777272340606,123,22,Collision
14,-30.160537446423476,45,13,Collision
15,88.77482355923084,41,12,Success
16,-25.70720875323441,139,28,Success
17,-259.8026519430572,145,22,Collision
18,83.89188675161417,287,33,Success
19,22.28456358456245,106,27,Success
20,77.18353379953965,53,12,Success
21,-312.3787195433196,147,11,Collision
22,135.01472440464775,108,29,Success
23,-241.41210334982316,157,39,Collision
24,-117.27221958991242,30,7,Collision
25,-478.3523295402627,209,43,Collision
26,-234.37365564287154,73,6,Collision
27,-349.12581760586903,82,12,Collision
28,-40.1151571848142,62,19,Collision
29,-481.6153186285775,153,10,Collision
30,-131.10358752620326,170,44,Collision
31,-81.71584856282325,121,33,Collision
32,-101.93645322404332,13,5,Collision
33,-98.22691881610979,13,4,Collision
34,-254.05828351409252,73,3,Collision
35,-53.02223475200745,69,17,Collision
36,-284.631693975281,180,46,Collision
37,-79.88986310970388,325,77,Success
38,-104.75690184838851,8,1,Collision
39,80.06466076813963,52,13,Success
40,-23.971123281244886,223,44,Success
41,-183.00179446465506,83,15,Collision
42,-228.15943671965664,174,15,Collision
43,-287.1003405680465,193,48,Collision
44,-226.0241535473271,44,2,Collision
45,-44.07229785563432,157,40,Success
46,-109.81974921503256,165,12,Success
47,-405.74578760888727,54,3,Collision
48,82.19077682522416,146,35,Success
49,-18.20253375850463,241,55,Success
50,-123.91111579194498,16,2,Collision
51,-108.47147275638262,13,3,Collision
52,-135.18498276845435,54,16,Collision
53,-168.19854134420325,167,23,Success
54,-125.12279689295116,277,24,Success
55,-54.15118655426359,163,40,Success
56,-572.40560661982,81,4,Collision
57,-69.00362490153833,168,40,Success
58,-101.8617558197327,20,7,Collision
59,-203.19272838433267,99,2,Collision
60,-121.02931853823057,48,8,Collision
