episode,reward,steps,unique_locations,success
1,-357.8716923868104,213,8,Collision
2,-247.10321500645313,63,5,Collision
3,-116.69986504198911,34,6,Collision
4,-151.33318482790378,79,9,Collision
5,-157.19022927416714,80,8,Collision
6,-128.4878464222802,37,3,Collision
7,-141.3211645331318,69,10,Collision
8,-199.39125860996552,127,11,Collision
9,-434.68234652935035,172,8,Collision
10,-111.05948062835839,29,6,Collision
11,-153.51359885737173,82,9,Collision
12,-143.6218524735304,67,9,Collision
13,84.53655394001353,27,3,Success
14,57.02118141161112,74,11,Success
15,-168.28167364230046,78,10,Collision
16,-217.90805218560305,36,3,Collision
17,-139.3499934886284,55,5,Collision
18,-162.35062398506597,85,8,Collision
19,69.06558984124425,44,3,Success
20,-112.11431433854561,26,5,Collision
21,-388.3817593188259,143,9,Collision
22,-130.16058247422916,52,7,Collision
23,-126.44966662428976,45,6,Collision
24,-146.03141982934585,76,11,Collision
25,-107.81808934883142,17,3,Collision
26,-124.15189403979338,41,5,Collision
27,-113.3197895308279,25,4,Collision
28,-260.4039873777063,122,10,Collision
29,76.73965053169964,36,3,Success
30,75.0185516878278,39,4,Success
31,-104.55314726559959,148,5,Success
32,74.68738041366458,40,4,Success
33,-251.64680283395998,86,9,Collision
34,-169.58436185485607,95,8,Collision
35,-9.949229849351838,46,4,Success
36,-109.76772632697198,24,5,Collision
37,-119.00964424989992,28,3,Collision
38,82.20027057574622,33,5,Success
39,36.013033808283424,86,7,Success
40,-225.96601791416458,144,18,Collision
41,-151.16809603641354,84,11,Collision
42,-88.05777352740618,133,4,Success
43,-135.78651765206178,55,6,Collision
44,-156.1313240877026,76,7,Collision
45,73.87208639427551,45,6,Success
46,-281.43804534495916,132,12,Collision
47,-38.4606077398705,116,14,Success
48,78.77128354702505,40,6,Success
49,-80.51435000246924,168,11,Success
50,82.44603702118508,33,5,Success
51,63.29769456213254,51,4,Success
52,-127.09795457491143,42,5,Collision
53,-342.88913608691917,208,10,Collision
54,-234.42442583117435,179,16,Collision
55,85.12597371653686,32,6,Success
56,-119.69418824173034,38,6,Collision
57,-123.65801228680775,33,3,Collision
58,73.76799526709084,40,4,Success
59,79.78349721262866,31,3,Success
60,67.44724980913706,45,3,Success
61,75.47656833968803,36,3,Success
62,71.05975638462664,52,7,Success
63,-156.6033408262535,91,10,Collision
64,76.42281592919898,36,3,Success
65,-113.15559237176055,142,5,Success
66,77.45803413243735,41,6,Success
67,-114.26830511453913,34,7,Collision
68,87.57403622786552,23,3,Success
69,46.37026985782591,75,6,Success
70,72.24280155819076,47,6,Success
71,92.20819696935934,18,3,Success
72,88.17069211048984,22,3,Success
73,75.85259106541582,40,5,Success
74,84.04447820706244,33,6,Success
75,44.661254082296544,87,10,Success
76,79.22490289748026,36,5,Success
77,85.77681610603176,29,5,Success
78,70.44019222003178,47,5,Success
79,80.18769074793484,34,4,Success
80,72.85349848101316,43,5,Success
81,89.76796488817094,23,4,Success
82,84.83457560334051,33,6,Success
83,83.7212402822242,34,6,Success
84,51.68831993519604,76,9,Success
85,71.49886997046238,48,6,Success
86,63.75688108010611,62,8,Success
87,87.18311138409861,30,6,Success
88,67.4197118915885,56,8,Success
89,31.933095766795063,88,9,Success
90,81.28784296623967,37,6,Success
91,72.35118715317506,46,6,Success
92,86.17751233450268,27,4,Success
93,85.27971804431687,31,5,Success
94,71.59015556811971,43,4,Success
